Station Name,model and version,XL2 S/N
LakeHodges_GREENVALLEY,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911371
Label,Meas Type,Slope,Offset,Equation
PT North,SDI-12,1.000000,0.000000,Off
PT South,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/06/2020,00:00:00,PT North,2.29,in,G
04/06/2020,00:00:00,Aliquot_Num,0,ali,G
04/06/2020,00:00:00,Flow_cfs,1.48,,G
04/06/2020,00:00:00,Curr_pacing,45000.00,,G
04/06/2020,00:00:00,PT South,0.47,in,G
04/06/2020,00:00:00,FlowVolume,0.00,,G
04/06/2020,00:01:00,PT South,0.45,in,G
04/06/2020,00:02:00,PT South,0.47,in,G
04/06/2020,00:03:00,PT South,0.45,in,G
04/06/2020,00:04:00,PT South,0.47,in,G
04/06/2020,00:05:00,PT North,2.25,in,G
04/06/2020,00:05:00,Flow_cfs,1.41,,G
04/06/2020,00:05:00,Aliquot_Num,0,ali,G
04/06/2020,00:05:00,PT South,0.45,in,G
04/06/2020,00:05:00,Curr_pacing,45000.00,,G
04/06/2020,00:05:00,FlowVolume,0.00,,G
04/06/2020,00:06:00,PT South,0.46,in,G
04/06/2020,00:07:00,PT South,0.46,in,G
04/06/2020,00:08:00,PT South,0.47,in,G
04/06/2020,00:09:00,PT South,0.47,in,G
04/06/2020,00:10:00,PT North,2.21,in,G
04/06/2020,00:10:00,Flow_cfs,1.34,,G
04/06/2020,00:10:00,Aliquot_Num,0,ali,G
04/06/2020,00:10:00,PT South,0.47,in,G
04/06/2020,00:10:00,Curr_pacing,45000.00,,G
04/06/2020,00:10:00,FlowVolume,0.00,,G
04/06/2020,00:11:00,PT South,0.47,in,G
04/06/2020,00:12:00,PT South,0.47,in,G
04/06/2020,00:13:00,PT South,0.45,in,G
04/06/2020,00:14:00,PT South,0.47,in,G
04/06/2020,00:15:00,PT North,2.30,in,G
