Station Name,model and version,XL2 S/N
LakeHodges_MOONSONG,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911376
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/09/2020,00:00:00,PT Level,3.50,in,G
04/09/2020,00:00:00,Aliquot_Num,0,ali,G
04/09/2020,00:00:00,Flow_cfs,3.50,,G
04/09/2020,00:00:00,Curr_pacing,60000.00,,G
04/09/2020,00:00:00,FlowVolume,41620.58,,G
04/09/2020,00:01:00,PT Level,3.44,in,G
04/09/2020,00:01:00,Flow_cfs,3.21,,G
04/09/2020,00:01:00,FlowVolume,41813.43,,G
04/09/2020,00:02:00,PT Level,3.49,in,G
04/09/2020,00:02:00,Flow_cfs,3.44,,G
04/09/2020,00:02:00,FlowVolume,42019.68,,G
04/09/2020,00:03:00,PT Level,3.48,in,G
04/09/2020,00:03:00,Flow_cfs,3.38,,G
04/09/2020,00:03:00,FlowVolume,42222.18,,G
04/09/2020,00:04:00,PT Level,3.47,in,G
04/09/2020,00:04:00,Flow_cfs,3.31,,G
04/09/2020,00:04:00,FlowVolume,42420.93,,G
04/09/2020,00:05:00,PT Level,3.48,in,G
04/09/2020,00:05:00,Aliquot_Num,0,ali,G
04/09/2020,00:05:00,Flow_cfs,3.38,,G
04/09/2020,00:05:00,Curr_pacing,60000.00,,G
04/09/2020,00:05:00,FlowVolume,42623.43,,G
04/09/2020,00:06:00,PT Level,3.52,in,G
04/09/2020,00:06:00,Flow_cfs,3.53,,G
04/09/2020,00:06:00,FlowVolume,42835.20,,G
04/09/2020,00:07:00,PT Level,3.45,in,G
04/09/2020,00:07:00,Flow_cfs,3.23,,G
04/09/2020,00:07:00,FlowVolume,43029.13,,G
04/09/2020,00:08:00,PT Level,3.44,in,G
04/09/2020,00:08:00,Flow_cfs,3.21,,G
04/09/2020,00:08:00,FlowVolume,43221.98,,G
04/09/2020,00:09:00,PT Level,3.44,in,G
04/09/2020,00:09:00,Flow_cfs,3.21,,G
04/09/2020,00:09:00,FlowVolume,43414.84,,G
04/09/2020,00:10:00,PT Level,3.50,in,G
04/09/2020,00:10:00,Aliquot_Num,0,ali,G
04/09/2020,00:10:00,Flow_cfs,3.50,,G
04/09/2020,00:10:00,Curr_pacing,60000.00,,G
04/09/2020,00:10:00,FlowVolume,43624.84,,G
04/09/2020,00:11:00,PT Level,3.50,in,G
04/09/2020,00:11:00,Flow_cfs,3.50,,G
04/09/2020,00:11:00,FlowVolume,43834.84,,G
04/09/2020,00:12:00,PT Level,3.48,in,G
04/09/2020,00:12:00,Flow_cfs,3.38,,G
04/09/2020,00:12:00,FlowVolume,44037.34,,G
04/09/2020,00:13:00,PT Level,3.48,in,G
04/09/2020,00:13:00,Flow_cfs,3.38,,G
04/09/2020,00:13:00,FlowVolume,44239.84,,G
04/09/2020,00:14:00,PT Level,3.50,in,G
04/09/2020,00:14:00,Flow_cfs,3.50,,G
04/09/2020,00:14:00,FlowVolume,44449.84,,G
04/09/2020,00:15:00,PT Level,3.48,in,G
04/09/2020,00:15:00,Flow_cfs,3.38,,G
04/09/2020,00:15:00,Aliquot_Num,0,ali,G
04/09/2020,00:15:00,Curr_pacing,60000.00,,G
04/09/2020,00:15:00,FlowVolume,44652.34,,G
04/09/2020,00:16:00,PT Level,3.49,in,G
04/09/2020,00:16:00,Flow_cfs,3.44,,G
04/09/2020,00:16:00,FlowVolume,44858.59,,G
04/09/2020,00:17:00,PT Level,3.52,in,G
04/09/2020,00:17:00,Flow_cfs,3.53,,G
04/09/2020,00:17:00,FlowVolume,45070.35,,G
04/09/2020,00:18:00,PT Level,3.45,in,G
04/09/2020,00:18:00,Flow_cfs,3.23,,G
04/09/2020,00:18:00,FlowVolume,45264.28,,G
04/09/2020,00:19:00,PT Level,3.46,in,G
04/09/2020,00:19:00,Flow_cfs,3.25,,G
04/09/2020,00:19:00,FlowVolume,45459.28,,G
04/09/2020,00:20:00,PT Level,3.44,in,G
04/09/2020,00:20:00,Aliquot_Num,0,ali,G
04/09/2020,00:20:00,Flow_cfs,3.21,,G
04/09/2020,00:20:00,Curr_pacing,60000.00,,G
04/09/2020,00:20:00,FlowVolume,45652.14,,G
04/09/2020,00:21:00,PT Level,3.45,in,G
04/09/2020,00:21:00,Flow_cfs,3.23,,G
04/09/2020,00:21:00,FlowVolume,45846.07,,G
04/09/2020,00:22:00,PT Level,3.46,in,G
04/09/2020,00:22:00,Flow_cfs,3.25,,G
04/09/2020,00:22:00,FlowVolume,46041.07,,G
04/09/2020,00:23:00,PT Level,3.43,in,G
04/09/2020,00:23:00,Flow_cfs,3.20,,G
04/09/2020,00:23:00,FlowVolume,46232.85,,G
04/09/2020,00:24:00,PT Level,3.46,in,G
04/09/2020,00:24:00,Flow_cfs,3.25,,G
04/09/2020,00:24:00,FlowVolume,46427.85,,G
04/09/2020,00:25:00,PT Level,3.49,in,G
04/09/2020,00:25:00,Aliquot_Num,0,ali,G
04/09/2020,00:25:00,Flow_cfs,3.44,,G
04/09/2020,00:25:00,Curr_pacing,60000.00,,G
04/09/2020,00:25:00,FlowVolume,46634.10,,G
04/09/2020,00:26:00,PT Level,3.47,in,G
04/09/2020,00:26:00,Flow_cfs,3.31,,G
04/09/2020,00:26:00,FlowVolume,46832.85,,G
04/09/2020,00:27:00,PT Level,3.41,in,G
04/09/2020,00:27:00,Flow_cfs,3.16,,G
04/09/2020,00:27:00,FlowVolume,47022.50,,G
04/09/2020,00:28:00,PT Level,3.43,in,G
04/09/2020,00:28:00,Flow_cfs,3.20,,G
04/09/2020,00:28:00,FlowVolume,47214.28,,G
04/09/2020,00:29:00,PT Level,3.44,in,G
04/09/2020,00:29:00,Flow_cfs,3.21,,G
04/09/2020,00:29:00,FlowVolume,47407.14,,G
04/09/2020,00:30:00,PT Level,3.45,in,G
04/09/2020,00:30:00,Aliquot_Num,0,ali,G
04/09/2020,00:30:00,Flow_cfs,3.23,,G
04/09/2020,00:30:00,Curr_pacing,60000.00,,G
04/09/2020,00:30:00,FlowVolume,47601.07,,G
04/09/2020,00:31:00,PT Level,3.48,in,G
04/09/2020,00:31:00,Flow_cfs,3.38,,G
04/09/2020,00:31:00,FlowVolume,47803.57,,G
04/09/2020,00:32:00,PT Level,3.45,in,G
04/09/2020,00:32:00,Flow_cfs,3.23,,G
04/09/2020,00:32:00,FlowVolume,47997.50,,G
04/09/2020,00:33:00,PT Level,3.50,in,G
04/09/2020,00:33:00,Flow_cfs,3.50,,G
04/09/2020,00:33:00,FlowVolume,48207.50,,G
04/09/2020,00:34:00,PT Level,3.49,in,G
04/09/2020,00:34:00,Flow_cfs,3.44,,G
04/09/2020,00:34:00,FlowVolume,48413.75,,G
04/09/2020,00:35:00,PT Level,3.47,in,G
04/09/2020,00:35:00,Aliquot_Num,0,ali,G
04/09/2020,00:35:00,Flow_cfs,3.31,,G
04/09/2020,00:35:00,Curr_pacing,60000.00,,G
04/09/2020,00:35:00,FlowVolume,48612.50,,G
04/09/2020,00:36:00,PT Level,3.44,in,G
04/09/2020,00:36:00,Flow_cfs,3.21,,G
04/09/2020,00:36:00,FlowVolume,48805.35,,G
04/09/2020,00:37:00,PT Level,3.51,in,G
04/09/2020,00:37:00,Flow_cfs,3.51,,G
04/09/2020,00:37:00,FlowVolume,49016.24,,G
04/09/2020,00:38:00,PT Level,3.43,in,G
04/09/2020,00:38:00,Flow_cfs,3.20,,G
04/09/2020,00:38:00,FlowVolume,49208.02,,G
04/09/2020,00:39:00,PT Level,3.53,in,G
04/09/2020,00:39:00,Flow_cfs,3.54,,G
04/09/2020,00:39:00,FlowVolume,49420.67,,G
04/09/2020,00:40:00,PT Level,3.45,in,G
04/09/2020,00:40:00,Aliquot_Num,0,ali,G
04/09/2020,00:40:00,Flow_cfs,3.23,,G
04/09/2020,00:40:00,Curr_pacing,60000.00,,G
04/09/2020,00:40:00,FlowVolume,49614.60,,G
04/09/2020,00:41:00,PT Level,3.43,in,G
04/09/2020,00:41:00,Flow_cfs,3.20,,G
04/09/2020,00:41:00,FlowVolume,49806.38,,G
04/09/2020,00:42:00,PT Level,3.47,in,G
04/09/2020,00:42:00,Flow_cfs,3.31,,G
04/09/2020,00:42:00,FlowVolume,50005.13,,G
04/09/2020,00:43:00,PT Level,3.45,in,G
