Station Name,model and version,XL2 S/N
LakeHodges_FELICITA,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911368
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/09/2020,00:00:00,PT Level,4.98,in,G
04/09/2020,00:00:00,Flow_cfs,1.37,,G
04/09/2020,00:00:00,Aliquot_Num,2,ali,G
04/09/2020,00:00:00,Curr_pacing,20000.00,,G
04/09/2020,00:00:00,FlowVolume,734.01,,G
04/09/2020,00:01:00,PT Level,4.97,in,G
04/09/2020,00:01:00,Flow_cfs,1.36,,G
04/09/2020,00:01:00,FlowVolume,815.58,,G
04/09/2020,00:02:00,PT Level,4.98,in,G
04/09/2020,00:02:00,Flow_cfs,1.37,,G
04/09/2020,00:02:00,FlowVolume,897.61,,G
04/09/2020,00:03:00,PT Level,4.95,in,G
04/09/2020,00:03:00,Flow_cfs,1.34,,G
04/09/2020,00:03:00,FlowVolume,978.23,,G
04/09/2020,00:04:00,PT Level,4.98,in,G
04/09/2020,00:04:00,Flow_cfs,1.37,,G
04/09/2020,00:04:00,FlowVolume,1060.26,,G
04/09/2020,00:05:00,PT Level,4.97,in,G
04/09/2020,00:05:00,Aliquot_Num,2,ali,G
04/09/2020,00:05:00,Flow_cfs,1.36,,G
04/09/2020,00:05:00,Curr_pacing,20000.00,,G
04/09/2020,00:05:00,FlowVolume,1141.83,,G
04/09/2020,00:06:00,PT Level,4.98,in,G
04/09/2020,00:06:00,Flow_cfs,1.37,,G
04/09/2020,00:06:00,FlowVolume,1223.86,,G
04/09/2020,00:07:00,PT Level,4.95,in,G
04/09/2020,00:07:00,Flow_cfs,1.34,,G
04/09/2020,00:07:00,FlowVolume,1304.48,,G
04/09/2020,00:08:00,PT Level,4.96,in,G
04/09/2020,00:08:00,Flow_cfs,1.35,,G
04/09/2020,00:08:00,FlowVolume,1385.58,,G
04/09/2020,00:09:00,PT Level,4.95,in,G
04/09/2020,00:09:00,Flow_cfs,1.34,,G
04/09/2020,00:09:00,FlowVolume,1466.20,,G
04/09/2020,00:10:00,PT Level,4.95,in,G
04/09/2020,00:10:00,Aliquot_Num,2,ali,G
04/09/2020,00:10:00,Flow_cfs,1.34,,G
04/09/2020,00:10:00,Curr_pacing,20000.00,,G
04/09/2020,00:10:00,FlowVolume,1546.83,,G
04/09/2020,00:11:00,PT Level,4.99,in,G
04/09/2020,00:11:00,Flow_cfs,1.37,,G
04/09/2020,00:11:00,FlowVolume,1629.33,,G
04/09/2020,00:12:00,PT Level,4.95,in,G
04/09/2020,00:12:00,Flow_cfs,1.34,,G
04/09/2020,00:12:00,FlowVolume,1709.95,,G
04/09/2020,00:13:00,PT Level,4.98,in,G
04/09/2020,00:13:00,Flow_cfs,1.37,,G
04/09/2020,00:13:00,FlowVolume,1791.98,,G
04/09/2020,00:14:00,PT Level,4.98,in,G
04/09/2020,00:14:00,Flow_cfs,1.37,,G
04/09/2020,00:14:00,FlowVolume,1874.01,,G
04/09/2020,00:15:00,PT Level,4.96,in,G
04/09/2020,00:15:00,Aliquot_Num,2,ali,G
04/09/2020,00:15:00,Flow_cfs,1.35,,G
04/09/2020,00:15:00,Curr_pacing,20000.00,,G
04/09/2020,00:15:00,FlowVolume,1955.11,,G
04/09/2020,00:16:00,PT Level,4.96,in,G
04/09/2020,00:16:00,Flow_cfs,1.35,,G
04/09/2020,00:16:00,FlowVolume,2036.20,,G
04/09/2020,00:17:00,PT Level,4.93,in,G
04/09/2020,00:17:00,Flow_cfs,1.33,,G
04/09/2020,00:17:00,FlowVolume,2115.89,,G
04/09/2020,00:18:00,PT Level,4.95,in,G
04/09/2020,00:18:00,Flow_cfs,1.34,,G
04/09/2020,00:18:00,FlowVolume,2196.51,,G
04/09/2020,00:19:00,PT Level,4.97,in,G
04/09/2020,00:19:00,Flow_cfs,1.36,,G
04/09/2020,00:19:00,FlowVolume,2278.08,,G
04/09/2020,00:20:00,PT Level,4.96,in,G
04/09/2020,00:20:00,Flow_cfs,1.35,,G
04/09/2020,00:20:00,Aliquot_Num,2,ali,G
04/09/2020,00:20:00,Curr_pacing,20000.00,,G
04/09/2020,00:20:00,FlowVolume,2359.17,,G
04/09/2020,00:21:00,PT Level,4.98,in,G
04/09/2020,00:21:00,Flow_cfs,1.37,,G
04/09/2020,00:21:00,FlowVolume,2441.20,,G
04/09/2020,00:22:00,PT Level,4.96,in,G
04/09/2020,00:22:00,Flow_cfs,1.35,,G
04/09/2020,00:22:00,FlowVolume,2522.30,,G
04/09/2020,00:23:00,PT Level,4.94,in,G
04/09/2020,00:23:00,Flow_cfs,1.34,,G
04/09/2020,00:23:00,FlowVolume,2602.45,,G
04/09/2020,00:24:00,PT Level,4.95,in,G
04/09/2020,00:24:00,Flow_cfs,1.34,,G
04/09/2020,00:24:00,FlowVolume,2683.08,,G
04/09/2020,00:25:00,PT Level,4.97,in,G
04/09/2020,00:25:00,Flow_cfs,1.36,,G
04/09/2020,00:25:00,Aliquot_Num,2,ali,G
04/09/2020,00:25:00,Curr_pacing,20000.00,,G
04/09/2020,00:25:00,FlowVolume,2764.64,,G
04/09/2020,00:26:00,PT Level,4.97,in,G
04/09/2020,00:26:00,Flow_cfs,1.36,,G
04/09/2020,00:26:00,FlowVolume,2846.20,,G
04/09/2020,00:27:00,PT Level,4.94,in,G
04/09/2020,00:27:00,Flow_cfs,1.34,,G
04/09/2020,00:27:00,FlowVolume,2926.36,,G
04/09/2020,00:28:00,PT Level,4.93,in,G
04/09/2020,00:28:00,Flow_cfs,1.33,,G
04/09/2020,00:28:00,FlowVolume,3006.05,,G
04/09/2020,00:29:00,PT Level,4.95,in,G
04/09/2020,00:29:00,Flow_cfs,1.34,,G
04/09/2020,00:29:00,FlowVolume,3086.67,,G
04/09/2020,00:30:00,PT Level,4.95,in,G
04/09/2020,00:30:00,Aliquot_Num,2,ali,G
04/09/2020,00:30:00,Flow_cfs,1.34,,G
04/09/2020,00:30:00,Curr_pacing,20000.00,,G
04/09/2020,00:30:00,FlowVolume,3167.30,,G
04/09/2020,00:31:00,PT Level,4.93,in,G
04/09/2020,00:31:00,Flow_cfs,1.33,,G
04/09/2020,00:31:00,FlowVolume,3246.98,,G
04/09/2020,00:32:00,PT Level,4.97,in,G
04/09/2020,00:32:00,Flow_cfs,1.36,,G
04/09/2020,00:32:00,FlowVolume,3328.55,,G
04/09/2020,00:33:00,PT Level,4.97,in,G
04/09/2020,00:33:00,Flow_cfs,1.36,,G
04/09/2020,00:33:00,FlowVolume,3410.11,,G
04/09/2020,00:34:00,PT Level,4.93,in,G
04/09/2020,00:34:00,Flow_cfs,1.33,,G
04/09/2020,00:34:00,FlowVolume,3489.80,,G
04/09/2020,00:35:00,PT Level,4.95,in,G
04/09/2020,00:35:00,Aliquot_Num,2,ali,G
04/09/2020,00:35:00,Flow_cfs,1.34,,G
04/09/2020,00:35:00,Curr_pacing,20000.00,,G
04/09/2020,00:35:00,FlowVolume,3570.42,,G
04/09/2020,00:36:00,PT Level,4.92,in,G
04/09/2020,00:36:00,Flow_cfs,1.32,,G
04/09/2020,00:36:00,FlowVolume,3649.64,,G
04/09/2020,00:37:00,PT Level,4.97,in,G
04/09/2020,00:37:00,Flow_cfs,1.36,,G
04/09/2020,00:37:00,FlowVolume,3731.20,,G
04/09/2020,00:38:00,PT Level,4.95,in,G
04/09/2020,00:38:00,Flow_cfs,1.34,,G
04/09/2020,00:38:00,FlowVolume,3811.83,,G
04/09/2020,00:39:00,PT Level,4.95,in,G
04/09/2020,00:39:00,Flow_cfs,1.34,,G
04/09/2020,00:39:00,FlowVolume,3892.45,,G
04/09/2020,00:40:00,PT Level,4.95,in,G
04/09/2020,00:40:00,Flow_cfs,1.34,,G
04/09/2020,00:40:00,Aliquot_Num,2,ali,G
04/09/2020,00:40:00,Curr_pacing,20000.00,,G
04/09/2020,00:40:00,FlowVolume,3973.08,,G
04/09/2020,00:41:00,PT Level,4.96,in,G
04/09/2020,00:41:00,Flow_cfs,1.35,,G
04/09/2020,00:41:00,FlowVolume,4054.17,,G
04/09/2020,00:42:00,PT Level,4.96,in,G
04/09/2020,00:42:00,Flow_cfs,1.35,,G
04/09/2020,00:42:00,FlowVolume,4135.26,,G
04/09/2020,00:43:00,PT Level,4.95,in,G
04/09/2020,00:43:00,Flow_cfs,1.34,,G
04/09/2020,00:43:00,FlowVolume,4215.89,,G
04/09/2020,00:44:00,PT Level,4.96,in,G
04/09/2020,00:44:00,Flow_cfs,1.35,,G
04/09/2020,00:44:00,FlowVolume,4296.98,,G
04/09/2020,00:45:00,PT Level,4.95,in,G
04/09/2020,00:45:00,Flow_cfs,1.34,,G
04/09/2020,00:45:00,Aliquot_Num,2,ali,G
04/09/2020,00:45:00,Curr_pacing,20000.00,,G
04/09/2020,00:45:00,FlowVolume,4377.61,,G
04/09/2020,00:46:00,PT Level,4.95,in,G
04/09/2020,00:46:00,Flow_cfs,1.34,,G
04/09/2020,00:46:00,FlowVolume,4458.23,,G
04/09/2020,00:47:00,PT Level,4.94,in,G
04/09/2020,00:47:00,Flow_cfs,1.34,,G
04/09/2020,00:47:00,FlowVolume,4538.39,,G
04/09/2020,00:48:00,PT Level,4.92,in,G
04/09/2020,00:48:00,Flow_cfs,1.32,,G
04/09/2020,00:48:00,FlowVolume,4617.61,,G
04/09/2020,00:49:00,PT Level,4.98,in,G
04/09/2020,00:49:00,Flow_cfs,1.37,,G
04/09/2020,00:49:00,FlowVolume,4699.64,,G
04/09/2020,00:50:00,PT Level,4.93,in,G
04/09/2020,00:50:00,Aliquot_Num,2,ali,G
04/09/2020,00:50:00,Flow_cfs,1.33,,G
04/09/2020,00:50:00,Curr_pacing,20000.00,,G
04/09/2020,00:50:00,FlowVolume,4779.33,,G
04/09/2020,00:51:00,PT Level,4.95,in,G
04/09/2020,00:51:00,Flow_cfs,1.34,,G
04/09/2020,00:51:00,FlowVolume,4859.95,,G
04/09/2020,00:52:00,PT Level,4.95,in,G
04/09/2020,00:52:00,Flow_cfs,1.34,,G
04/09/2020,00:52:00,FlowVolume,4940.58,,G
04/09/2020,00:53:00,PT Level,4.95,in,G
04/09/2020,00:53:00,Flow_cfs,1.34,,G
04/09/2020,00:53:00,FlowVolume,5021.20,,G
04/09/2020,00:54:00,PT Level,4.96,in,G
04/09/2020,00:54:00,Flow_cfs,1.35,,G
04/09/2020,00:54:00,FlowVolume,5102.30,,G
04/09/2020,00:55:00,PT Level,4.95,in,G
