Station Name,model and version,XL2 S/N
ElKu_HDG101,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1912201
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,-0.160000,Off
Flow_PT,Meta,1.000000,0.000000,Off
03/03/2021 12:00:00,Level_PT,0.35,in,G
03/03/2021 12:00:00,Flow_PT,22.503,gpm,G
03/03/2021 12:00:00,SamplePacin,2500,gal,G
03/03/2021 12:00:00,BottleNum,1,,G
03/03/2021 12:00:00,AliquotNum,0,ali,G
03/03/2021 12:00:00,Incr_Flow,0.00,gal,G
03/03/2021 12:00:00,Vel_950,NAN,fps,B
03/03/2021 12:00:00,Flow_950,NAN,gpm,B
03/03/2021 12:00:00,Level_950,0.22,in,G
03/03/2021 12:01:00,SamplePacin,2500,gal,G
03/03/2021 12:01:00,BottleNum,1,,G
03/03/2021 12:01:00,Incr_Flow,0.00,gal,G
03/03/2021 12:02:00,SamplePacin,2500,gal,G
03/03/2021 12:02:00,BottleNum,1,,G
03/03/2021 12:02:00,Incr_Flow,0.00,gal,G
03/03/2021 12:03:00,SamplePacin,2500,gal,G
03/03/2021 12:03:00,BottleNum,1,,G
03/03/2021 12:03:00,Incr_Flow,0.00,gal,G
03/03/2021 12:04:00,SamplePacin,2500,gal,G
03/03/2021 12:04:00,BottleNum,1,,G
03/03/2021 12:04:00,Incr_Flow,0.00,gal,G
03/03/2021 12:05:00,Level_PT,0.36,in,G
03/03/2021 12:05:00,Flow_PT,23.712,gpm,G
03/03/2021 12:05:00,SamplePacin,2500,gal,G
03/03/2021 12:05:00,BottleNum,1,,G
03/03/2021 12:05:00,AliquotNum,0,ali,G
03/03/2021 12:05:00,Incr_Flow,0.00,gal,G
03/03/2021 12:05:00,Vel_950,NAN,fps,B
03/03/2021 12:05:00,Flow_950,0.326,gpm,G
03/03/2021 12:05:00,Level_950,0.18,in,G
03/03/2021 12:06:00,SamplePacin,2500,gal,G
03/03/2021 12:06:00,BottleNum,1,,G
03/03/2021 12:06:00,Incr_Flow,0.00,gal,G
03/03/2021 12:07:00,SamplePacin,2500,gal,G
03/03/2021 12:07:00,BottleNum,1,,G
03/03/2021 12:07:00,Incr_Flow,0.00,gal,G
03/03/2021 12:08:00,SamplePacin,2500,gal,G
03/03/2021 12:08:00,BottleNum,1,,G
03/03/2021 12:08:00,Incr_Flow,0.00,gal,G
03/03/2021 12:09:00,SamplePacin,2500,gal,G
03/03/2021 12:09:00,BottleNum,1,,G
03/03/2021 12:09:00,Incr_Flow,0.00,gal,G
03/03/2021 12:10:00,Level_PT,0.37,in,G
03/03/2021 12:10:00,Flow_PT,24.922,gpm,G
03/03/2021 12:10:00,SamplePacin,2500,gal,G
03/03/2021 12:10:00,BottleNum,1,,G
03/03/2021 12:10:00,AliquotNum,0,ali,G
03/03/2021 12:10:00,Incr_Flow,0.00,gal,G
03/03/2021 12:10:00,Vel_950,NAN,fps,B
03/03/2021 12:10:00,Flow_950,0.542,gpm,G
03/03/2021 12:10:00,Level_950,0.22,in,G
03/03/2021 12:11:00,SamplePacin,2500,gal,G
03/03/2021 12:11:00,BottleNum,1,,G
03/03/2021 12:11:00,Incr_Flow,0.00,gal,G
03/03/2021 12:12:00,SamplePacin,2500,gal,G
03/03/2021 12:12:00,BottleNum,1,,G
03/03/2021 12:12:00,Incr_Flow,0.00,gal,G
03/03/2021 12:13:00,SamplePacin,2500,gal,G
03/03/2021 12:13:00,BottleNum,1,,G
03/03/2021 12:13:00,Incr_Flow,0.00,gal,G
03/03/2021 12:14:00,SamplePacin,2500,gal,G
03/03/2021 12:14:00,BottleNum,1,,G
03/03/2021 12:14:00,Incr_Flow,0.00,gal,G
03/03/2021 12:15:00,Level_PT,0.32,in,G
03/03/2021 12:15:00,Flow_PT,18.874,gpm,G
03/03/2021 12:15:00,SamplePacin,2500,gal,G
03/03/2021 12:15:00,BottleNum,1,,G
03/03/2021 12:15:00,AliquotNum,0,ali,G
03/03/2021 12:15:00,Incr_Flow,0.00,gal,G
03/03/2021 12:15:00,Vel_950,NAN,fps,B
03/03/2021 12:15:00,Flow_950,0.000,gpm,G
03/03/2021 12:15:00,Level_950,0.00,in,G
03/03/2021 12:16:00,SamplePacin,2500,gal,G
03/03/2021 12:16:00,BottleNum,1,,G
03/03/2021 12:16:00,Incr_Flow,0.00,gal,G
03/03/2021 12:17:00,SamplePacin,2500,gal,G
03/03/2021 12:17:00,BottleNum,1,,G
03/03/2021 12:17:00,Incr_Flow,0.00,gal,G
03/03/2021 12:18:00,SamplePacin,2500,gal,G
03/03/2021 12:18:00,BottleNum,1,,G
03/03/2021 12:18:00,Incr_Flow,0.00,gal,G
03/03/2021 12:19:00,SamplePacin,2500,gal,G
03/03/2021 12:19:00,BottleNum,1,,G
