Station Name,model and version,XL2 S/N
LakeHodges_CLOVERDALE_NEW,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911372
Label,Meas Type,Slope,Offset,Equation
Aliquot_Num,10/27/2020,16:00:00,0,G
FlowVolume,10/27/2020,16:00:00,0.00,G
PT Level,10/27/2020,16:05:00,0.01,G
Flow_cfs,10/27/2020,16:05:00,0.05,G
Aliquot_Num,10/27/2020,16:05:00,0,G
FlowVolume,10/27/2020,16:05:00,0.00,G
PT Level,10/27/2020,16:10:00,-0.01,G
Flow_cfs,10/27/2020,16:10:00,0.00,G
Aliquot_Num,10/27/2020,16:10:00,0,G
FlowVolume,10/27/2020,16:10:00,0.00,G
PT Level,10/27/2020,16:15:00,-0.04,G
Flow_cfs,10/27/2020,16:15:00,0.00,G
Aliquot_Num,10/27/2020,16:15:00,0,G
FlowVolume,10/27/2020,16:15:00,0.00,G
PT Level,10/27/2020,16:20:00,0.00,G
Flow_cfs,10/27/2020,16:20:00,0.00,G
Aliquot_Num,10/27/2020,16:20:00,0,G
FlowVolume,10/27/2020,16:20:00,0.00,G
PT Level,10/27/2020,16:25:00,0.00,G
Flow_cfs,10/27/2020,16:25:00,0.00,G
Aliquot_Num,10/27/2020,16:25:00,0,G
FlowVolume,10/27/2020,16:25:00,0.00,G
PT Level,10/27/2020,16:30:00,0.01,G
Flow_cfs,10/27/2020,16:30:00,0.05,G
Aliquot_Num,10/27/2020,16:30:00,0,G
FlowVolume,10/27/2020,16:30:00,0.00,G
PT Level,10/27/2020,16:35:00,-0.01,G
Flow_cfs,10/27/2020,16:35:00,0.00,G
Aliquot_Num,10/27/2020,16:35:00,0,G
FlowVolume,10/27/2020,16:35:00,0.00,G
PT Level,10/27/2020,16:40:00,0.02,G
Flow_cfs,10/27/2020,16:40:00,0.10,G
Aliquot_Num,10/27/2020,16:40:00,0,G
FlowVolume,10/27/2020,16:40:00,0.00,G
PT Level,10/27/2020,16:45:00,0.00,G
Flow_cfs,10/27/2020,16:45:00,0.00,G
Aliquot_Num,10/27/2020,16:45:00,0,G
FlowVolume,10/27/2020,16:45:00,0.00,G
PT Level,10/27/2020,16:50:00,0.00,G
Flow_cfs,10/27/2020,16:50:00,0.00,G
Aliquot_Num,10/27/2020,16:50:00,0,G
FlowVolume,10/27/2020,16:50:00,0.00,G
PT Level,10/27/2020,16:55:00,-0.01,G
Flow_cfs,10/27/2020,16:55:00,0.00,G
Aliquot_Num,10/27/2020,16:55:00,0,G
FlowVolume,10/27/2020,16:55:00,0.00,G
PT Level,10/27/2020,17:00:00,-0.02,G
Flow_cfs,10/27/2020,17:00:00,0.00,G
Aliquot_Num,10/27/2020,17:00:00,0,G
FlowVolume,10/27/2020,17:00:00,0.00,G
PT Level,10/27/2020,17:05:00,0.00,G
Flow_cfs,10/27/2020,17:05:00,0.00,G
Aliquot_Num,10/27/2020,17:05:00,0,G
FlowVolume,10/27/2020,17:05:00,0.00,G
PT Level,10/27/2020,17:10:00,-0.01,G
Flow_cfs,10/27/2020,17:10:00,0.00,G
Aliquot_Num,10/27/2020,17:10:00,0,G
FlowVolume,10/27/2020,17:10:00,0.00,G
PT Level,10/27/2020,17:15:00,0.00,G
Flow_cfs,10/27/2020,17:15:00,0.00,G
Aliquot_Num,10/27/2020,17:15:00,0,G
FlowVolume,10/27/2020,17:15:00,0.00,G
PT Level,10/27/2020,17:20:00,-0.01,G
Flow_cfs,10/27/2020,17:20:00,0.00,G
Aliquot_Num,10/27/2020,17:20:00,0,G
FlowVolume,10/27/2020,17:20:00,0.00,G
PT Level,10/27/2020,17:25:00,0.01,G
Flow_cfs,10/27/2020,17:25:00,0.05,G
Aliquot_Num,10/27/2020,17:25:00,0,G
FlowVolume,10/27/2020,17:25:00,0.00,G
PT Level,10/27/2020,17:30:00,-0.02,G
Flow_cfs,10/27/2020,17:30:00,0.00,G
Aliquot_Num,10/27/2020,17:30:00,0,G
FlowVolume,10/27/2020,17:30:00,0.00,G
PT Level,10/27/2020,17:35:00,-0.04,G
Flow_cfs,10/27/2020,17:35:00,0.00,G
Aliquot_Num,10/27/2020,17:35:00,0,G
FlowVolume,10/27/2020,17:35:00,0.00,G
PT Level,10/27/2020,17:40:00,-0.01,G
Flow_cfs,10/27/2020,17:40:00,0.00,G
Aliquot_Num,10/27/2020,17:40:00,0,G
FlowVolume,10/27/2020,17:40:00,0.00,G
PT Level,10/27/2020,17:45:00,-0.02,G
Flow_cfs,10/27/2020,17:45:00,0.00,G
Aliquot_Num,10/27/2020,17:45:00,0,G
FlowVolume,10/27/2020,17:45:00,0.00,G
PT Level,10/27/2020,17:50:00,0.02,G
Flow_cfs,10/27/2020,17:50:00,0.10,G
Aliquot_Num,10/27/2020,17:50:00,0,G
FlowVolume,10/27/2020,17:50:00,0.00,G
PT Level,10/27/2020,17:55:00,0.00,G
Flow_cfs,10/27/2020,17:55:00,0.00,G
Aliquot_Num,10/27/2020,17:55:00,0,G
FlowVolume,10/27/2020,17:55:00,0.00,G
PT Level,10/27/2020,18:00:00,-0.01,G
Flow_cfs,10/27/2020,18:00:00,0.00,G
Aliquot_Num,10/27/2020,18:00:00,0,G
FlowVolume,10/27/2020,18:00:00,0.00,G
PT Level,10/27/2020,18:05:00,0.01,G
Flow_cfs,10/27/2020,18:05:00,0.05,G
Aliquot_Num,10/27/2020,18:05:00,0,G
FlowVolume,10/27/2020,18:05:00,0.00,G
PT Level,10/27/2020,18:10:00,0.00,G
Flow_cfs,10/27/2020,18:10:00,0.00,G
Aliquot_Num,10/27/2020,18:10:00,0,G
FlowVolume,10/27/2020,18:10:00,0.00,G
PT Level,10/27/2020,18:15:00,-0.01,G
Flow_cfs,10/27/2020,18:15:00,0.00,G
Aliquot_Num,10/27/2020,18:15:00,0,G
FlowVolume,10/27/2020,18:15:00,0.00,G
PT Level,10/27/2020,18:20:00,0.01,G
Flow_cfs,10/27/2020,18:20:00,0.05,G
Aliquot_Num,10/27/2020,18:20:00,0,G
FlowVolume,10/27/2020,18:20:00,0.00,G
PT Level,10/27/2020,18:25:00,0.01,G
Flow_cfs,10/27/2020,18:25:00,0.05,G
Aliquot_Num,10/27/2020,18:25:00,0,G
FlowVolume,10/27/2020,18:25:00,0.00,G
PT Level,10/27/2020,18:30:00,0.00,G
Flow_cfs,10/27/2020,18:30:00,0.00,G
Aliquot_Num,10/27/2020,18:30:00,0,G
FlowVolume,10/27/2020,18:30:00,0.00,G
PT Level,10/27/2020,18:35:00,0.01,G
Flow_cfs,10/27/2020,18:35:00,0.05,G
Aliquot_Num,10/27/2020,18:35:00,0,G
FlowVolume,10/27/2020,18:35:00,0.00,G
PT Level,10/27/2020,18:40:00,0.00,G
Flow_cfs,10/27/2020,18:40:00,0.00,G
Aliquot_Num,10/27/2020,18:40:00,0,G
FlowVolume,10/27/2020,18:40:00,0.00,G
PT Level,10/27/2020,18:45:00,0.00,G
Flow_cfs,10/27/2020,18:45:00,0.00,G
Aliquot_Num,10/27/2020,18:45:00,0,G
FlowVolume,10/27/2020,18:45:00,0.00,G
PT Level,10/27/2020,18:50:00,0.00,G
Flow_cfs,10/27/2020,18:50:00,0.00,G
Aliquot_Num,10/27/2020,18:50:00,0,G
FlowVolume,10/27/2020,18:50:00,0.00,G
PT Level,10/27/2020,18:55:00,-0.01,G
Flow_cfs,10/27/2020,18:55:00,0.00,G
Aliquot_Num,10/27/2020,18:55:00,0,G
FlowVolume,10/27/2020,18:55:00,0.00,G
PT Level,10/27/2020,19:00:00,-0.01,G
Flow_cfs,10/27/2020,19:00:00,0.00,G
Aliquot_Num,10/27/2020,19:00:00,0,G
FlowVolume,10/27/2020,19:00:00,0.00,G
PT Level,10/27/2020,19:05:00,-0.01,G
Flow_cfs,10/27/2020,19:05:00,0.00,G
Aliquot_Num,10/27/2020,19:05:00,0,G
FlowVolume,10/27/2020,19:05:00,0.00,G
PT Level,10/27/2020,19:10:00,-0.03,G
Flow_cfs,10/27/2020,19:10:00,0.00,G
Aliquot_Num,10/27/2020,19:10:00,0,G
FlowVolume,10/27/2020,19:10:00,0.00,G
PT Level,10/27/2020,19:15:00,-0.02,G
Flow_cfs,10/27/2020,19:15:00,0.00,G
Aliquot_Num,10/27/2020,19:15:00,0,G
FlowVolume,10/27/2020,19:15:00,0.00,G
PT Level,10/27/2020,19:20:00,-0.04,G
Flow_cfs,10/27/2020,19:20:00,0.00,G
Aliquot_Num,10/27/2020,19:20:00,0,G
FlowVolume,10/27/2020,19:20:00,0.00,G
PT Level,10/27/2020,19:25:00,-0.01,G
Flow_cfs,10/27/2020,19:25:00,0.00,G
Aliquot_Num,10/27/2020,19:25:00,0,G
FlowVolume,10/27/2020,19:25:00,0.00,G
PT Level,10/27/2020,19:30:00,-0.01,G
Flow_cfs,10/27/2020,19:30:00,0.00,G
Aliquot_Num,10/27/2020,19:30:00,0,G
FlowVolume,10/27/2020,19:30:00,0.00,G
PT Level,10/27/2020,19:35:00,-0.02,G
Flow_cfs,10/27/2020,19:35:00,0.00,G
Aliquot_Num,10/27/2020,19:35:00,0,G
FlowVolume,10/27/2020,19:35:00,0.00,G
PT Level,10/27/2020,19:40:00,-0.01,G
Flow_cfs,10/27/2020,19:40:00,0.00,G
Aliquot_Num,10/27/2020,19:40:00,0,G
FlowVolume,10/27/2020,19:40:00,0.00,G
PT Level,10/27/2020,19:45:00,-0.04,G
Aliquot_Num,10/27/2020,19:45:00,0,G
Flow_cfs,10/27/2020,19:45:00,0.00,G
FlowVolume,10/27/2020,19:45:00,0.00,G
PT Level,10/27/2020,19:50:00,-0.01,G
Aliquot_Num,10/27/2020,19:50:00,0,G
Flow_cfs,10/27/2020,19:50:00,0.00,G
FlowVolume,10/27/2020,19:50:00,0.00,G
PT Level,10/27/2020,19:55:00,0.00,G
Aliquot_Num,10/27/2020,19:55:00,0,G
Flow_cfs,10/27/2020,19:55:00,0.00,G
FlowVolume,10/27/2020,19:55:00,0.00,G
PT Level,10/27/2020,20:00:00,-0.02,G
Aliquot_Num,10/27/2020,20:00:00,0,G
Flow_cfs,10/27/2020,20:00:00,0.00,G
FlowVolume,10/27/2020,20:00:00,0.00,G
PT Level,10/27/2020,20:05:00,-0.03,G
Flow_cfs,10/27/2020,20:05:00,0.00,G
Aliquot_Num,10/27/2020,20:05:00,0,G
FlowVolume,10/27/2020,20:05:00,0.00,G
PT Level,10/27/2020,20:10:00,-0.02,G
Flow_cfs,10/27/2020,20:10:00,0.00,G
Aliquot_Num,10/27/2020,20:10:00,0,G
FlowVolume,10/27/2020,20:10:00,0.00,G
PT Level,10/27/2020,20:15:00,-0.03,G
Flow_cfs,10/27/2020,20:15:00,0.00,G
Aliquot_Num,10/27/2020,20:15:00,0,G
FlowVolume,10/27/2020,20:15:00,0.00,G
PT Level,10/27/2020,20:20:00,-0.01,G
Flow_cfs,10/27/2020,20:20:00,0.00,G
Aliquot_Num,10/27/2020,20:20:00,0,G
FlowVolume,10/27/2020,20:20:00,0.00,G
PT Level,10/27/2020,20:25:00,-0.04,G
Flow_cfs,10/27/2020,20:25:00,0.00,G
Aliquot_Num,10/27/2020,20:25:00,0,G
FlowVolume,10/27/2020,20:25:00,0.00,G
PT Level,10/27/2020,20:30:00,-0.01,G
Flow_cfs,10/27/2020,20:30:00,0.00,G
Aliquot_Num,10/27/2020,20:30:00,0,G
FlowVolume,10/27/2020,20:30:00,0.00,G
PT Level,10/27/2020,20:35:00,-0.03,G
Flow_cfs,10/27/2020,20:35:00,0.00,G
Aliquot_Num,10/27/2020,20:35:00,0,G
FlowVolume,10/27/2020,20:35:00,0.00,G
PT Level,10/27/2020,20:40:00,0.00,G
Flow_cfs,10/27/2020,20:40:00,0.00,G
Aliquot_Num,10/27/2020,20:40:00,0,G
FlowVolume,10/27/2020,20:40:00,0.00,G
PT Level,10/27/2020,20:45:00,-0.02,G
Flow_cfs,10/27/2020,20:45:00,0.00,G
Aliquot_Num,10/27/2020,20:45:00,0,G
FlowVolume,10/27/2020,20:45:00,0.00,G
PT Level,10/27/2020,20:50:00,0.00,G
Flow_cfs,10/27/2020,20:50:00,0.00,G
Aliquot_Num,10/27/2020,20:50:00,0,G
FlowVolume,10/27/2020,20:50:00,0.00,G
PT Level,10/27/2020,20:55:00,-0.04,G
Flow_cfs,10/27/2020,20:55:00,0.00,G
Aliquot_Num,10/27/2020,20:55:00,0,G
FlowVolume,10/27/2020,20:55:00,0.00,G
PT Level,10/27/2020,21:00:00,-0.03,G
Flow_cfs,10/27/2020,21:00:00,0.00,G
Aliquot_Num,10/27/2020,21:00:00,0,G
FlowVolume,10/27/2020,21:00:00,0.00,G
PT Level,10/27/2020,21:05:00,-0.01,G
Flow_cfs,10/27/2020,21:05:00,0.00,G
Aliquot_Num,10/27/2020,21:05:00,0,G
FlowVolume,10/27/2020,21:05:00,0.00,G
PT Level,10/27/2020,21:10:00,-0.02,G
Flow_cfs,10/27/2020,21:10:00,0.00,G
Aliquot_Num,10/27/2020,21:10:00,0,G
FlowVolume,10/27/2020,21:10:00,0.00,G
PT Level,10/27/2020,21:15:00,-0.03,G
Flow_cfs,10/27/2020,21:15:00,0.00,G
Aliquot_Num,10/27/2020,21:15:00,0,G
FlowVolume,10/27/2020,21:15:00,0.00,G
PT Level,10/27/2020,21:20:00,-0.03,G
Flow_cfs,10/27/2020,21:20:00,0.00,G
Aliquot_Num,10/27/2020,21:20:00,0,G
FlowVolume,10/27/2020,21:20:00,0.00,G
PT Level,10/27/2020,21:25:00,-0.01,G
Flow_cfs,10/27/2020,21:25:00,0.00,G
Aliquot_Num,10/27/2020,21:25:00,0,G
FlowVolume,10/27/2020,21:25:00,0.00,G
PT Level,10/27/2020,21:30:00,-0.02,G
Flow_cfs,10/27/2020,21:30:00,0.00,G
Aliquot_Num,10/27/2020,21:30:00,0,G
FlowVolume,10/27/2020,21:30:00,0.00,G
PT Level,10/27/2020,21:35:00,-0.03,G
Flow_cfs,10/27/2020,21:35:00,0.00,G
Aliquot_Num,10/27/2020,21:35:00,0,G
FlowVolume,10/27/2020,21:35:00,0.00,G
PT Level,10/27/2020,21:40:00,0.00,G
Aliquot_Num,10/27/2020,21:40:00,0,G
Flow_cfs,10/27/2020,21:40:00,0.00,G
FlowVolume,10/27/2020,21:40:00,0.00,G
PT Level,10/27/2020,21:45:00,-0.01,G
Aliquot_Num,10/27/2020,21:45:00,0,G
Flow_cfs,10/27/2020,21:45:00,0.00,G
FlowVolume,10/27/2020,21:45:00,0.00,G
PT Level,10/27/2020,21:50:00,-0.01,G
Aliquot_Num,10/27/2020,21:50:00,0,G
Flow_cfs,10/27/2020,21:50:00,0.00,G
FlowVolume,10/27/2020,21:50:00,0.00,G
PT Level,10/27/2020,21:55:00,-0.02,G
Aliquot_Num,10/27/2020,21:55:00,0,G
Flow_cfs,10/27/2020,21:55:00,0.00,G
FlowVolume,10/27/2020,21:55:00,0.00,G
PT Level,10/27/2020,22:00:00,-0.01,G
Flow_cfs,10/27/2020,22:00:00,0.00,G
Aliquot_Num,10/27/2020,22:00:00,0,G
FlowVolume,10/27/2020,22:00:00,0.00,G
PT Level,10/27/2020,22:05:00,-0.03,G
Flow_cfs,10/27/2020,22:05:00,0.00,G
Aliquot_Num,10/27/2020,22:05:00,0,G
FlowVolume,10/27/2020,22:05:00,0.00,G
PT Level,10/27/2020,22:10:00,-0.01,G
Flow_cfs,10/27/2020,22:10:00,0.00,G
Aliquot_Num,10/27/2020,22:10:00,0,G
FlowVolume,10/27/2020,22:10:00,0.00,G
PT Level,10/27/2020,22:15:00,-0.02,G
Flow_cfs,10/27/2020,22:15:00,0.00,G
Aliquot_Num,10/27/2020,22:15:00,0,G
FlowVolume,10/27/2020,22:15:00,0.00,G
PT Level,10/27/2020,22:20:00,-0.02,G
Flow_cfs,10/27/2020,22:20:00,0.00,G
Aliquot_Num,10/27/2020,22:20:00,0,G
FlowVolume,10/27/2020,22:20:00,0.00,G
PT Level,10/27/2020,22:25:00,-0.01,G
Flow_cfs,10/27/2020,22:25:00,0.00,G
Aliquot_Num,10/27/2020,22:25:00,0,G
FlowVolume,10/27/2020,22:25:00,0.00,G
PT Level,10/27/2020,22:30:00,-0.03,G
Flow_cfs,10/27/2020,22:30:00,0.00,G
Aliquot_Num,10/27/2020,22:30:00,0,G
FlowVolume,10/27/2020,22:30:00,0.00,G
PT Level,10/27/2020,22:35:00,-0.03,G
Flow_cfs,10/27/2020,22:35:00,0.00,G
Aliquot_Num,10/27/2020,22:35:00,0,G
FlowVolume,10/27/2020,22:35:00,0.00,G
PT Level,10/27/2020,22:40:00,-0.02,G
Flow_cfs,10/27/2020,22:40:00,0.00,G
Aliquot_Num,10/27/2020,22:40:00,0,G
FlowVolume,10/27/2020,22:40:00,0.00,G
PT Level,10/27/2020,22:45:00,-0.03,G
Flow_cfs,10/27/2020,22:45:00,0.00,G
Aliquot_Num,10/27/2020,22:45:00,0,G
FlowVolume,10/27/2020,22:45:00,0.00,G
PT Level,10/27/2020,22:50:00,-0.02,G
Flow_cfs,10/27/2020,22:50:00,0.00,G
Aliquot_Num,10/27/2020,22:50:00,0,G
FlowVolume,10/27/2020,22:50:00,0.00,G
PT Level,10/27/2020,22:55:00,-0.01,G
Flow_cfs,10/27/2020,22:55:00,0.00,G
Aliquot_Num,10/27/2020,22:55:00,0,G
FlowVolume,10/27/2020,22:55:00,0.00,G
PT Level,10/27/2020,23:00:00,-0.01,G
Flow_cfs,10/27/2020,23:00:00,0.00,G
Aliquot_Num,10/27/2020,23:00:00,0,G
FlowVolume,10/27/2020,23:00:00,0.00,G
PT Level,10/27/2020,23:05:00,-0.02,G
Flow_cfs,10/27/2020,23:05:00,0.00,G
Aliquot_Num,10/27/2020,23:05:00,0,G
FlowVolume,10/27/2020,23:05:00,0.00,G
PT Level,10/27/2020,23:10:00,-0.01,G
Flow_cfs,10/27/2020,23:10:00,0.00,G
Aliquot_Num,10/27/2020,23:10:00,0,G
FlowVolume,10/27/2020,23:10:00,0.00,G
PT Level,10/27/2020,23:15:00,-0.02,G
Aliquot_Num,10/27/2020,23:15:00,0,G
Flow_cfs,10/27/2020,23:15:00,0.00,G
FlowVolume,10/27/2020,23:15:00,0.00,G
PT Level,10/27/2020,23:20:00,-0.02,G
Aliquot_Num,10/27/2020,23:20:00,0,G
Flow_cfs,10/27/2020,23:20:00,0.00,G
FlowVolume,10/27/2020,23:20:00,0.00,G
PT Level,10/27/2020,23:25:00,-0.01,G
Aliquot_Num,10/27/2020,23:25:00,0,G
Flow_cfs,10/27/2020,23:25:00,0.00,G
FlowVolume,10/27/2020,23:25:00,0.00,G
PT Level,10/27/2020,23:30:00,-0.01,G
Flow_cfs,10/27/2020,23:30:00,0.00,G
Aliquot_Num,10/27/2020,23:30:00,0,G
FlowVolume,10/27/2020,23:30:00,0.00,G
PT Level,10/27/2020,23:35:00,-0.01,G
Flow_cfs,10/27/2020,23:35:00,0.00,G
Aliquot_Num,10/27/2020,23:35:00,0,G
FlowVolume,10/27/2020,23:35:00,0.00,G
PT Level,10/27/2020,23:40:00,0.00,G
Flow_cfs,10/27/2020,23:40:00,0.00,G
Aliquot_Num,10/27/2020,23:40:00,0,G
FlowVolume,10/27/2020,23:40:00,0.00,G
PT Level,10/27/2020,23:45:00,-0.02,G
Flow_cfs,10/27/2020,23:45:00,0.00,G
Aliquot_Num,10/27/2020,23:45:00,0,G
FlowVolume,10/27/2020,23:45:00,0.00,G
PT Level,10/27/2020,23:50:00,-0.03,G
Flow_cfs,10/27/2020,23:50:00,0.00,G
Aliquot_Num,10/27/2020,23:50:00,0,G
FlowVolume,10/27/2020,23:50:00,0.00,G
PT Level,10/27/2020,23:55:00,-0.03,G
Flow_cfs,10/27/2020,23:55:00,0.00,G
Aliquot_Num,10/27/2020,23:55:00,0,G
FlowVolume,10/27/2020,23:55:00,0.00,G
PT Level,10/28/2020,00:00:00,-0.01,G
Flow_cfs,10/28/2020,00:00:00,0.00,G
Aliquot_Num,10/28/2020,00:00:00,0,G
FlowVolume,10/28/2020,00:00:00,0.00,G
PT Level,10/28/2020,00:05:00,-0.02,G
Flow_cfs,10/28/2020,00:05:00,0.00,G
Aliquot_Num,10/28/2020,00:05:00,0,G
FlowVolume,10/28/2020,00:05:00,0.00,G
PT Level,10/28/2020,00:10:00,-0.03,G
Flow_cfs,10/28/2020,00:10:00,0.00,G
Aliquot_Num,10/28/2020,00:10:00,0,G
FlowVolume,10/28/2020,00:10:00,0.00,G
PT Level,10/28/2020,00:15:00,-0.02,G
Flow_cfs,10/28/2020,00:15:00,0.00,G
Aliquot_Num,10/28/2020,00:15:00,0,G
FlowVolume,10/28/2020,00:15:00,0.00,G
PT Level,10/28/2020,00:20:00,-0.03,G
Flow_cfs,10/28/2020,00:20:00,0.00,G
Aliquot_Num,10/28/2020,00:20:00,0,G
FlowVolume,10/28/2020,00:20:00,0.00,G
PT Level,10/28/2020,00:25:00,-0.02,G
Flow_cfs,10/28/2020,00:25:00,0.00,G
Aliquot_Num,10/28/2020,00:25:00,0,G
FlowVolume,10/28/2020,00:25:00,0.00,G
PT Level,10/28/2020,00:30:00,-0.02,G
Flow_cfs,10/28/2020,00:30:00,0.00,G
Aliquot_Num,10/28/2020,00:30:00,0,G
FlowVolume,10/28/2020,00:30:00,0.00,G
PT Level,10/28/2020,00:35:00,-0.01,G
Flow_cfs,10/28/2020,00:35:00,0.00,G
Aliquot_Num,10/28/2020,00:35:00,0,G
FlowVolume,10/28/2020,00:35:00,0.00,G
PT Level,10/28/2020,00:40:00,-0.04,G
Flow_cfs,10/28/2020,00:40:00,0.00,G
Aliquot_Num,10/28/2020,00:40:00,0,G
FlowVolume,10/28/2020,00:40:00,0.00,G
PT Level,10/28/2020,00:45:00,-0.04,G
Flow_cfs,10/28/2020,00:45:00,0.00,G
Aliquot_Num,10/28/2020,00:45:00,0,G
FlowVolume,10/28/2020,00:45:00,0.00,G
PT Level,10/28/2020,00:50:00,0.00,G
Flow_cfs,10/28/2020,00:50:00,0.00,G
Aliquot_Num,10/28/2020,00:50:00,0,G
FlowVolume,10/28/2020,00:50:00,0.00,G
PT Level,10/28/2020,00:55:00,-0.03,G
Flow_cfs,10/28/2020,00:55:00,0.00,G
Aliquot_Num,10/28/2020,00:55:00,0,G
FlowVolume,10/28/2020,00:55:00,0.00,G
PT Level,10/28/2020,01:00:00,-0.02,G
Aliquot_Num,10/28/2020,01:00:00,0,G
Flow_cfs,10/28/2020,01:00:00,0.00,G
FlowVolume,10/28/2020,01:00:00,0.00,G
PT Level,10/28/2020,01:05:00,-0.01,G
Aliquot_Num,10/28/2020,01:05:00,0,G
Flow_cfs,10/28/2020,01:05:00,0.00,G
FlowVolume,10/28/2020,01:05:00,0.00,G
PT Level,10/28/2020,01:10:00,-0.02,G
Aliquot_Num,10/28/2020,01:10:00,0,G
Flow_cfs,10/28/2020,01:10:00,0.00,G
FlowVolume,10/28/2020,01:10:00,0.00,G
PT Level,10/28/2020,01:15:00,-0.03,G
Flow_cfs,10/28/2020,01:15:00,0.00,G
Aliquot_Num,10/28/2020,01:15:00,0,G
FlowVolume,10/28/2020,01:15:00,0.00,G
PT Level,10/28/2020,01:20:00,-0.03,G
Flow_cfs,10/28/2020,01:20:00,0.00,G
Aliquot_Num,10/28/2020,01:20:00,0,G
FlowVolume,10/28/2020,01:20:00,0.00,G
PT Level,10/28/2020,01:25:00,-0.03,G
Flow_cfs,10/28/2020,01:25:00,0.00,G
Aliquot_Num,10/28/2020,01:25:00,0,G
FlowVolume,10/28/2020,01:25:00,0.00,G
PT Level,10/28/2020,01:30:00,-0.03,G
Flow_cfs,10/28/2020,01:30:00,0.00,G
Aliquot_Num,10/28/2020,01:30:00,0,G
FlowVolume,10/28/2020,01:30:00,0.00,G
PT Level,10/28/2020,01:35:00,-0.02,G
Flow_cfs,10/28/2020,01:35:00,0.00,G
Aliquot_Num,10/28/2020,01:35:00,0,G
FlowVolume,10/28/2020,01:35:00,0.00,G
PT Level,10/28/2020,01:40:00,-0.01,G
Flow_cfs,10/28/2020,01:40:00,0.00,G
Aliquot_Num,10/28/2020,01:40:00,0,G
FlowVolume,10/28/2020,01:40:00,0.00,G
PT Level,10/28/2020,01:45:00,-0.01,G
Flow_cfs,10/28/2020,01:45:00,0.00,G
Aliquot_Num,10/28/2020,01:45:00,0,G
FlowVolume,10/28/2020,01:45:00,0.00,G
