Station Name,model and version,XL2 S/N
ViaRancho_HDG102,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911377
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,0.000000,Off
Flow _PT,Meta,1.000000,0.000000,Off
03/03/2021 00:00:00,Level_PT,1.38,in,G
03/03/2021 00:00:00,Flow _PT,0.246,cfs,G
03/03/2021 00:00:00,SamplePacin,3500,cf,G
03/03/2021 00:00:00,AliquotNum,0,ali,G
03/03/2021 00:00:00,BottleNum,1,,G
03/03/2021 00:00:00,Level_950,1.24,in,G
03/03/2021 00:00:00,Incr_Flow,0.00,cf,G
03/03/2021 00:00:00,Vel_950,0.00,fps,G
03/03/2021 00:00:00,Flow_950,0.000,cfs,G
03/03/2021 00:01:00,SamplePacin,3500,cf,G
03/03/2021 00:01:00,BottleNum,1,,G
03/03/2021 00:01:00,Incr_Flow,0.00,cf,G
03/03/2021 00:02:00,SamplePacin,3500,cf,G
03/03/2021 00:02:00,BottleNum,1,,G
03/03/2021 00:02:00,Incr_Flow,0.00,cf,G
03/03/2021 00:03:00,SamplePacin,3500,cf,G
03/03/2021 00:03:00,BottleNum,1,,G
03/03/2021 00:03:00,Incr_Flow,0.00,cf,G
03/03/2021 00:04:00,SamplePacin,3500,cf,G
03/03/2021 00:04:00,BottleNum,1,,G
03/03/2021 00:04:00,Incr_Flow,0.00,cf,G
03/03/2021 00:05:00,Level_PT,1.40,in,G
03/03/2021 00:05:00,Flow _PT,0.252,cfs,G
03/03/2021 00:05:00,SamplePacin,3500,cf,G
03/03/2021 00:05:00,AliquotNum,0,ali,G
03/03/2021 00:05:00,BottleNum,1,,G
03/03/2021 00:05:00,Level_950,1.37,in,G
03/03/2021 00:05:00,Incr_Flow,0.00,cf,G
03/03/2021 00:05:00,Flow_950,0.000,cfs,G
03/03/2021 00:05:00,Vel_950,0.00,fps,G
03/03/2021 00:06:00,SamplePacin,3500,cf,G
03/03/2021 00:06:00,BottleNum,1,,G
03/03/2021 00:06:00,Incr_Flow,0.00,cf,G
03/03/2021 00:07:00,SamplePacin,3500,cf,G
03/03/2021 00:07:00,BottleNum,1,,G
03/03/2021 00:07:00,Incr_Flow,0.00,cf,G
03/03/2021 00:08:00,SamplePacin,3500,cf,G
03/03/2021 00:08:00,BottleNum,1,,G
03/03/2021 00:08:00,Incr_Flow,0.00,cf,G
03/03/2021 00:09:00,SamplePacin,3500,cf,G
03/03/2021 00:09:00,BottleNum,1,,G
03/03/2021 00:09:00,Incr_Flow,0.00,cf,G
03/03/2021 00:10:00,Level_PT,1.40,in,G
03/03/2021 00:10:00,Flow _PT,0.252,cfs,G
03/03/2021 00:10:00,SamplePacin,3500,cf,G
03/03/2021 00:10:00,AliquotNum,0,ali,G
03/03/2021 00:10:00,BottleNum,1,,G
03/03/2021 00:10:00,Level_950,1.24,in,G
03/03/2021 00:10:00,Incr_Flow,0.00,cf,G
03/03/2021 00:10:00,Flow_950,0.000,cfs,G
03/03/2021 00:10:00,Vel_950,0.00,fps,G
03/03/2021 00:11:00,SamplePacin,3500,cf,G
03/03/2021 00:11:00,BottleNum,1,,G
03/03/2021 00:11:00,Incr_Flow,0.00,cf,G
03/03/2021 00:12:00,SamplePacin,3500,cf,G
03/03/2021 00:12:00,BottleNum,1,,G
03/03/2021 00:12:00,Incr_Flow,0.00,cf,G
03/03/2021 00:13:00,SamplePacin,3500,cf,G
03/03/2021 00:13:00,BottleNum,1,,G
03/03/2021 00:13:00,Incr_Flow,0.00,cf,G
03/03/2021 00:14:00,SamplePacin,3500,cf,G
03/03/2021 00:14:00,BottleNum,1,,G
03/03/2021 00:14:00,Incr_Flow,0.00,cf,G
03/03/2021 00:15:00,Level_PT,1.39,in,G
03/03/2021 00:15:00,Flow _PT,0.249,cfs,G
03/03/2021 00:15:00,SamplePacin,3500,cf,G
03/03/2021 00:15:00,AliquotNum,0,ali,G
03/03/2021 00:15:00,BottleNum,1,,G
03/03/2021 00:15:00,Level_950,1.20,in,G
03/03/2021 00:15:00,Incr_Flow,0.00,cf,G
03/03/2021 00:15:00,Flow_950,0.000,cfs,G
03/03/2021 00:15:00,Vel_950,0.00,fps,G
03/03/2021 00:16:00,SamplePacin,3500,cf,G
03/03/2021 00:16:00,BottleNum,1,,G
03/03/2021 00:16:00,Incr_Flow,0.00,cf,G
03/03/2021 00:17:00,SamplePacin,3500,cf,G
03/03/2021 00:17:00,BottleNum,1,,G
03/03/2021 00:17:00,Incr_Flow,0.00,cf,G
03/03/2021 00:18:00,SamplePacin,3500,cf,G
03/03/2021 00:18:00,BottleNum,1,,G
03/03/2021 00:18:00,Incr_Flow,0.00,cf,G
03/03/2021 00:19:00,SamplePacin,3500,cf,G
03/03/2021 00:19:00,BottleNum,1,,G
