Station Name,model and version,XL2 S/N
ViaRancho_HDG102,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911377
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
PT Flow cfs,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
11/05/2020,16:25:00,Aliquot_Num,0,ali,G
11/05/2020,16:25:00,PT Flow cfs,0.450,cfs,G
11/05/2020,16:25:00,FlowVolume,0.00,,G
11/05/2020,16:25:00,Vel_950,-99999.00,fps,B
11/05/2020,16:25:00,Level_950,0.00,in,G
11/05/2020,16:25:00,Flow_950,0.00,cfs,G
11/05/2020,16:30:00,PT Level,1.92,in,G
11/05/2020,16:30:00,Curr_pacing,0.00,,G
11/05/2020,16:30:00,Aliquot_Num,0,ali,G
11/05/2020,16:30:00,PT Flow cfs,0.450,cfs,G
11/05/2020,16:30:00,FlowVolume,0.00,,G
11/05/2020,16:30:00,Vel_950,-99999.00,fps,B
11/05/2020,16:30:00,Level_950,0.00,in,G
11/05/2020,16:30:00,Flow_950,0.00,cfs,G
11/05/2020,16:35:00,PT Level,1.90,in,G
11/05/2020,16:35:00,Curr_pacing,0.00,,G
11/05/2020,16:35:00,Aliquot_Num,0,ali,G
11/05/2020,16:35:00,PT Flow cfs,0.440,cfs,G
11/05/2020,16:35:00,FlowVolume,0.00,,G
11/05/2020,16:35:00,Vel_950,-99999.00,fps,B
11/05/2020,16:35:00,Flow_950,0.00,cfs,G
11/05/2020,16:35:00,Level_950,0.90,in,G
11/05/2020,16:40:00,PT Level,1.89,in,G
11/05/2020,16:40:00,Curr_pacing,0.00,,G
11/05/2020,16:40:00,Aliquot_Num,0,ali,G
11/05/2020,16:40:00,PT Flow cfs,0.435,cfs,G
11/05/2020,16:40:00,FlowVolume,0.00,,G
11/05/2020,16:40:00,Vel_950,-99999.00,fps,B
11/05/2020,16:40:00,Level_950,0.00,in,G
11/05/2020,16:40:00,Flow_950,0.00,cfs,G
11/05/2020,16:45:00,PT Level,1.89,in,G
11/05/2020,16:45:00,Aliquot_Num,0,ali,G
11/05/2020,16:45:00,Curr_pacing,0.00,,G
11/05/2020,16:45:00,PT Flow cfs,0.435,cfs,G
11/05/2020,16:45:00,FlowVolume,0.00,,G
11/05/2020,16:45:00,Vel_950,-99999.00,fps,B
11/05/2020,16:45:00,Level_950,0.00,in,G
11/05/2020,16:45:00,Flow_950,0.00,cfs,G
11/05/2020,16:50:00,PT Level,1.90,in,G
11/05/2020,16:50:00,Curr_pacing,0.00,,G
11/05/2020,16:50:00,Aliquot_Num,0,ali,G
11/05/2020,16:50:00,PT Flow cfs,0.440,cfs,G
11/05/2020,16:50:00,FlowVolume,0.00,,G
11/05/2020,16:50:00,Vel_950,-99999.00,fps,B
11/05/2020,16:50:00,Flow_950,0.00,cfs,G
11/05/2020,16:50:00,Level_950,1.03,in,G
11/05/2020,16:55:00,PT Level,1.90,in,G
11/05/2020,16:55:00,Aliquot_Num,0,ali,G
11/05/2020,16:55:00,Curr_pacing,0.00,,G
11/05/2020,16:55:00,PT Flow cfs,0.440,cfs,G
11/05/2020,16:55:00,FlowVolume,0.00,,G
11/05/2020,16:55:00,Vel_950,-99999.00,fps,B
11/05/2020,16:55:00,Flow_950,0.00,cfs,G
11/05/2020,16:55:00,Level_950,1.03,in,G
11/05/2020,17:00:00,PT Level,1.94,in,G
11/05/2020,17:00:00,Aliquot_Num,0,ali,G
11/05/2020,17:00:00,Curr_pacing,0.00,,G
11/05/2020,17:00:00,PT Flow cfs,0.460,cfs,G
11/05/2020,17:00:00,FlowVolume,0.00,,G
11/05/2020,17:00:00,Battery_950,12.91,V,G
11/05/2020,17:00:00,Vel_950,0.00,fps,G
11/05/2020,17:00:00,Level_950,1.07,in,G
11/05/2020,17:00:00,Flow_950,0.00,cfs,G
11/05/2020,17:05:00,PT Level,1.94,in,G
11/05/2020,17:05:00,Aliquot_Num,0,ali,G
11/05/2020,17:05:00,Curr_pacing,0.00,,G
11/05/2020,17:05:00,PT Flow cfs,0.460,cfs,G
11/05/2020,17:05:00,FlowVolume,0.00,,G
11/05/2020,17:05:00,Vel_950,-99999.00,fps,B
11/05/2020,17:05:00,Level_950,0.00,in,G
11/05/2020,17:05:00,Flow_950,0.00,cfs,G
11/05/2020,17:10:00,PT Level,1.92,in,G
11/05/2020,17:10:00,Aliquot_Num,0,ali,G
11/05/2020,17:10:00,PT Flow cfs,0.450,cfs,G
11/05/2020,17:10:00,Curr_pacing,0.00,,G
11/05/2020,17:10:00,FlowVolume,0.00,,G
11/05/2020,17:10:00,Vel_950,-99999.00,fps,B
11/05/2020,17:10:00,Flow_950,0.00,cfs,G
11/05/2020,17:10:00,Level_950,1.07,in,G
11/05/2020,17:15:00,PT Level,1.91,in,G
11/05/2020,17:15:00,Aliquot_Num,0,ali,G
11/05/2020,17:15:00,Curr_pacing,0.00,,G
11/05/2020,17:15:00,PT Flow cfs,0.445,cfs,G
11/05/2020,17:15:00,FlowVolume,0.00,,G
11/05/2020,17:15:00,Vel_950,-99999.00,fps,B
11/05/2020,17:15:00,Level_950,0.00,in,G
11/05/2020,17:15:00,Flow_950,0.00,cfs,G
11/05/2020,17:20:00,PT Level,1.91,in,G
11/05/2020,17:20:00,Aliquot_Num,0,ali,G
11/05/2020,17:20:00,Curr_pacing,0.00,,G
11/05/2020,17:20:00,PT Flow cfs,0.445,cfs,G
11/05/2020,17:20:00,FlowVolume,0.00,,G
11/05/2020,17:20:00,Vel_950,-99999.00,fps,B
11/05/2020,17:20:00,Flow_950,0.00,cfs,G
11/05/2020,17:20:00,Level_950,1.07,in,G
11/05/2020,17:25:00,PT Level,1.90,in,G
11/05/2020,17:25:00,Curr_pacing,0.00,,G
11/05/2020,17:25:00,Aliquot_Num,0,ali,G
11/05/2020,17:25:00,PT Flow cfs,0.440,cfs,G
11/05/2020,17:25:00,FlowVolume,0.00,,G
11/05/2020,17:25:00,Vel_950,-99999.00,fps,B
11/05/2020,17:25:00,Flow_950,0.00,cfs,G
11/05/2020,17:25:00,Level_950,1.07,in,G
11/05/2020,17:30:00,PT Level,1.94,in,G
11/05/2020,17:30:00,Aliquot_Num,0,ali,G
11/05/2020,17:30:00,Curr_pacing,0.00,,G
11/05/2020,17:30:00,PT Flow cfs,0.460,cfs,G
11/05/2020,17:30:00,FlowVolume,0.00,,G
11/05/2020,17:30:00,Vel_950,-99999.00,fps,B
11/05/2020,17:30:00,Flow_950,0.00,cfs,G
11/05/2020,17:30:00,Level_950,1.07,in,G
11/05/2020,17:35:00,PT Level,1.91,in,G
11/05/2020,17:35:00,Aliquot_Num,0,ali,G
11/05/2020,17:35:00,Curr_pacing,0.00,,G
11/05/2020,17:35:00,PT Flow cfs,0.445,cfs,G
11/05/2020,17:35:00,FlowVolume,0.00,,G
11/05/2020,17:35:00,Vel_950,-99999.00,fps,B
11/05/2020,17:35:00,Level_950,0.00,in,G
11/05/2020,17:35:00,Flow_950,0.00,cfs,G
11/05/2020,17:40:00,PT Level,1.95,in,G
11/05/2020,17:40:00,Curr_pacing,0.00,,G
11/05/2020,17:40:00,Aliquot_Num,0,ali,G
11/05/2020,17:40:00,PT Flow cfs,0.465,cfs,G
11/05/2020,17:40:00,FlowVolume,0.00,,G
11/05/2020,17:40:00,Vel_950,-99999.00,fps,B
11/05/2020,17:40:00,Flow_950,0.00,cfs,G
11/05/2020,17:40:00,Level_950,1.07,in,G
11/05/2020,17:45:00,PT Level,2.03,in,G
11/05/2020,17:45:00,Aliquot_Num,0,ali,G
11/05/2020,17:45:00,Curr_pacing,0.00,,G
11/05/2020,17:45:00,PT Flow cfs,0.508,cfs,G
11/05/2020,17:45:00,FlowVolume,0.00,,G
11/05/2020,17:45:00,Vel_950,-99999.00,fps,B
11/05/2020,17:45:00,Level_950,-99999.00,in,B
11/05/2020,17:45:00,Flow_950,0.31,cfs,G
11/05/2020,17:50:00,PT Level,1.96,in,G
11/05/2020,17:50:00,Aliquot_Num,0,ali,G
11/05/2020,17:50:00,Curr_pacing,0.00,,G
11/05/2020,17:50:00,PT Flow cfs,0.470,cfs,G
11/05/2020,17:50:00,FlowVolume,0.00,,G
11/05/2020,17:50:00,Vel_950,-99999.00,fps,B
11/05/2020,17:50:00,Flow_950,0.00,cfs,G
11/05/2020,17:50:00,Level_950,1.11,in,G
11/05/2020,17:55:00,PT Level,1.93,in,G
11/05/2020,17:55:00,Curr_pacing,0.00,,G
11/05/2020,17:55:00,Aliquot_Num,0,ali,G
11/05/2020,17:55:00,PT Flow cfs,0.455,cfs,G
11/05/2020,17:55:00,FlowVolume,0.00,,G
11/05/2020,17:55:00,Vel_950,-99999.00,fps,B
11/05/2020,17:55:00,Flow_950,0.00,cfs,G
11/05/2020,17:55:00,Level_950,1.11,in,G
11/05/2020,18:00:00,PT Level,1.92,in,G
11/05/2020,18:00:00,Curr_pacing,0.00,,G
11/05/2020,18:00:00,Aliquot_Num,0,ali,G
11/05/2020,18:00:00,PT Flow cfs,0.450,cfs,G
11/05/2020,18:00:00,FlowVolume,0.00,,G
11/05/2020,18:00:00,Battery_950,12.88,V,G
11/05/2020,18:00:00,Vel_950,0.00,fps,G
11/05/2020,18:00:00,Flow_950,0.00,cfs,G
11/05/2020,18:00:00,Level_950,1.03,in,G
11/05/2020,18:05:00,PT Level,1.93,in,G
11/05/2020,18:05:00,Curr_pacing,0.00,,G
11/05/2020,18:05:00,Aliquot_Num,0,ali,G
11/05/2020,18:05:00,PT Flow cfs,0.455,cfs,G
11/05/2020,18:05:00,FlowVolume,0.00,,G
11/05/2020,18:05:00,Vel_950,-99999.00,fps,B
11/05/2020,18:05:00,Level_950,0.00,in,G
11/05/2020,18:05:00,Flow_950,0.00,cfs,G
11/05/2020,18:10:00,PT Level,1.90,in,G
11/05/2020,18:10:00,Curr_pacing,0.00,,G
11/05/2020,18:10:00,Aliquot_Num,0,ali,G
11/05/2020,18:10:00,PT Flow cfs,0.440,cfs,G
11/05/2020,18:10:00,FlowVolume,0.00,,G
11/05/2020,18:10:00,Vel_950,-99999.00,fps,B
11/05/2020,18:10:00,Flow_950,0.00,cfs,G
11/05/2020,18:10:00,Level_950,1.07,in,G
11/05/2020,18:15:00,PT Level,1.92,in,G
11/05/2020,18:15:00,Aliquot_Num,0,ali,G
11/05/2020,18:15:00,Curr_pacing,0.00,,G
11/05/2020,18:15:00,PT Flow cfs,0.450,cfs,G
11/05/2020,18:15:00,FlowVolume,0.00,,G
11/05/2020,18:15:00,Vel_950,-99999.00,fps,B
11/05/2020,18:15:00,Level_950,0.00,in,G
11/05/2020,18:15:00,Flow_950,0.00,cfs,G
11/05/2020,18:20:00,PT Level,1.93,in,G
11/05/2020,18:20:00,Curr_pacing,0.00,,G
11/05/2020,18:20:00,Aliquot_Num,0,ali,G
11/05/2020,18:20:00,PT Flow cfs,0.455,cfs,G
11/05/2020,18:20:00,FlowVolume,0.00,,G
11/05/2020,18:20:00,Vel_950,-99999.00,fps,B
11/05/2020,18:20:00,Flow_950,0.00,cfs,G
11/05/2020,18:20:00,Level_950,1.03,in,G
11/05/2020,18:25:00,PT Level,1.90,in,G
11/05/2020,18:25:00,Curr_pacing,0.00,,G
11/05/2020,18:25:00,Aliquot_Num,0,ali,G
11/05/2020,18:25:00,PT Flow cfs,0.440,cfs,G
11/05/2020,18:25:00,FlowVolume,0.00,,G
11/05/2020,18:25:00,Vel_950,-99999.00,fps,B
11/05/2020,18:25:00,Level_950,0.00,in,G
11/05/2020,18:25:00,Flow_950,0.00,cfs,G
