Station Name,model and version,XL2 S/N
LakeHodges_GUEJITO,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911370
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
09/01/2020,00:00:00,PT Level,-0.12,in,G
09/01/2020,00:00:00,Aliquot_Num,0,ali,G
09/01/2020,00:00:00,Flow_cfs,0.00,,G
09/01/2020,00:00:00,Curr_pacing,300000.00,,G
09/01/2020,00:00:00,FlowVolume,0.00,,G
09/01/2020,00:05:00,PT Level,-0.12,in,G
09/01/2020,00:05:00,Aliquot_Num,0,ali,G
09/01/2020,00:05:00,Flow_cfs,0.00,,G
09/01/2020,00:05:00,Curr_pacing,300000.00,,G
09/01/2020,00:05:00,FlowVolume,0.00,,G
09/01/2020,00:10:00,PT Level,-0.10,in,G
09/01/2020,00:10:00,Aliquot_Num,0,ali,G
09/01/2020,00:10:00,Flow_cfs,0.00,,G
09/01/2020,00:10:00,Curr_pacing,300000.00,,G
09/01/2020,00:10:00,FlowVolume,0.00,,G
09/01/2020,00:15:00,PT Level,-0.11,in,G
09/01/2020,00:15:00,Aliquot_Num,0,ali,G
09/01/2020,00:15:00,Flow_cfs,0.00,,G
09/01/2020,00:15:00,Curr_pacing,300000.00,,G
09/01/2020,00:15:00,FlowVolume,0.00,,G
09/01/2020,00:20:00,PT Level,-0.11,in,G
09/01/2020,00:20:00,Flow_cfs,0.00,,G
09/01/2020,00:20:00,Aliquot_Num,0,ali,G
09/01/2020,00:20:00,Curr_pacing,300000.00,,G
09/01/2020,00:20:00,FlowVolume,0.00,,G
09/01/2020,00:25:00,PT Level,-0.11,in,G
09/01/2020,00:25:00,Aliquot_Num,0,ali,G
09/01/2020,00:25:00,Flow_cfs,0.00,,G
09/01/2020,00:25:00,Curr_pacing,300000.00,,G
09/01/2020,00:25:00,FlowVolume,0.00,,G
09/01/2020,00:30:00,PT Level,-0.10,in,G
09/01/2020,00:30:00,Aliquot_Num,0,ali,G
09/01/2020,00:30:00,Flow_cfs,0.00,,G
09/01/2020,00:30:00,Curr_pacing,300000.00,,G
09/01/2020,00:30:00,FlowVolume,0.00,,G
09/01/2020,00:35:00,PT Level,-0.12,in,G
09/01/2020,00:35:00,Aliquot_Num,0,ali,G
09/01/2020,00:35:00,Flow_cfs,0.00,,G
09/01/2020,00:35:00,Curr_pacing,300000.00,,G
09/01/2020,00:35:00,FlowVolume,0.00,,G
09/01/2020,00:40:00,PT Level,-0.11,in,G
09/01/2020,00:40:00,Aliquot_Num,0,ali,G
09/01/2020,00:40:00,Flow_cfs,0.00,,G
09/01/2020,00:40:00,Curr_pacing,300000.00,,G
09/01/2020,00:40:00,FlowVolume,0.00,,G
09/01/2020,00:45:00,PT Level,-0.11,in,G
09/01/2020,00:45:00,Aliquot_Num,0,ali,G
09/01/2020,00:45:00,Flow_cfs,0.00,,G
09/01/2020,00:45:00,Curr_pacing,300000.00,,G
09/01/2020,00:45:00,FlowVolume,0.00,,G
09/01/2020,00:50:00,PT Level,-0.12,in,G
09/01/2020,00:50:00,Flow_cfs,0.00,,G
09/01/2020,00:50:00,Aliquot_Num,0,ali,G
09/01/2020,00:50:00,Curr_pacing,300000.00,,G
09/01/2020,00:50:00,FlowVolume,0.00,,G
09/01/2020,00:55:00,PT Level,-0.10,in,G
09/01/2020,00:55:00,Aliquot_Num,0,ali,G
09/01/2020,00:55:00,Flow_cfs,0.00,,G
09/01/2020,00:55:00,Curr_pacing,300000.00,,G
