Station Name,model and version,XL2 S/N
Tazon_DW0317,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911380
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.150000,Off
PT Flow gpm,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
12/24/2020 11:10:00,PT Level,0.10,in,G
12/24/2020 11:10:00,PT Flow cfs,0.190,gpm,G
12/24/2020 11:10:00,Vel_950,4.84,fps,G
12/24/2020 11:10:00,Flow_950,0.29,cfs,G
12/24/2020 11:10:00,Level_950,0.10,in,G
12/24/2020 11:15:00,PT Level,0.10,in,G
12/24/2020 11:15:00,PT Flow cfs,0.190,gpm,G
12/24/2020 11:15:00,Vel_950,NAN,fps,B
12/24/2020 11:15:00,Flow_950,NAN,cfs,B
12/24/2020 11:15:00,Level_950,NAN,in,B
12/24/2020 11:20:00,PT Level,0.11,in,G
12/24/2020 11:20:00,PT Flow cfs,0.255,gpm,G
12/24/2020 11:20:00,Vel_950,NAN,fps,B
12/24/2020 11:20:00,Flow_950,NAN,cfs,B
12/24/2020 11:20:00,Level_950,NAN,in,B
12/24/2020 11:25:00,PT Level,0.10,in,G
12/24/2020 11:25:00,PT Flow gpm,0.190,gpm,G
12/24/2020 11:25:00,Vel_950,0.40,fps,G
12/24/2020 11:25:00,Flow_950,0.29,cfs,G
12/24/2020 11:25:00,Level_950,0.10,in,G
12/24/2020 11:30:00,PT Level,0.11,in,G
12/24/2020 11:30:00,PT Flow gpm,0.255,gpm,G
12/24/2020 11:30:00,Vel_950,0.40,fps,G
12/24/2020 11:30:00,Flow_950,0.29,cfs,G
12/24/2020 11:30:00,Level_950,0.10,in,G
12/24/2020 11:35:00,PT Level,0.08,in,G
12/24/2020 11:35:00,PT Flow gpm,0.152,gpm,G
12/24/2020 11:35:00,Vel_950,0.40,fps,G
12/24/2020 11:35:00,Flow_950,0.29,cfs,G
12/24/2020 11:35:00,Level_950,0.10,in,G
12/24/2020 11:40:00,PT Level,0.09,in,G
12/24/2020 11:40:00,PT Flow gpm,0.171,gpm,G
12/24/2020 11:40:00,Vel_950,0.40,fps,G
12/24/2020 11:40:00,Flow_950,0.29,cfs,G
12/24/2020 11:40:00,Level_950,0.10,in,G
12/24/2020 11:45:00,PT Level,0.10,in,G
12/24/2020 11:45:00,PT Flow gpm,0.190,gpm,G
12/24/2020 11:45:00,Vel_950,0.40,fps,G
12/24/2020 11:45:00,Flow_950,0.29,cfs,G
12/24/2020 11:45:00,Level_950,0.10,in,G
12/24/2020 11:50:00,PT Level,0.11,in,G
12/24/2020 11:50:00,PT Flow gpm,0.255,gpm,G
12/24/2020 11:50:00,Vel_950,0.40,fps,G
12/24/2020 11:50:00,Flow_950,0.29,cfs,G
12/24/2020 11:50:00,Level_950,0.10,in,G
12/24/2020 11:55:00,PT Level,0.10,in,G
12/24/2020 11:55:00,PT Flow gpm,0.190,gpm,G
12/24/2020 11:55:00,Vel_950,0.40,fps,G
12/24/2020 11:55:00,Flow_950,0.29,cfs,G
12/24/2020 11:55:00,Level_950,0.10,in,G
12/24/2020 12:00:00,PT Level,0.09,in,G
12/24/2020 12:00:00,PT Flow gpm,0.171,gpm,G
12/24/2020 12:00:00,Battery_950,12.14,V,G
12/24/2020 12:00:00,Level_950,0.10,in,G
12/24/2020 12:00:00,Vel_950,0.40,fps,G
12/24/2020 12:00:00,Flow_950,0.29,cfs,G
12/24/2020 12:05:00,PT Level,0.08,in,G
12/24/2020 12:05:00,PT Flow gpm,0.152,gpm,G
12/24/2020 12:05:00,Level_950,0.10,in,G
12/24/2020 12:05:00,Vel_950,0.40,fps,G
12/24/2020 12:05:00,Flow_950,0.29,cfs,G
12/24/2020 12:10:00,PT Level,0.10,in,G
12/24/2020 12:10:00,PT Flow gpm,0.190,gpm,G
12/24/2020 12:10:00,Level_950,0.10,in,G
12/24/2020 12:10:00,Vel_950,0.40,fps,G
12/24/2020 12:10:00,Flow_950,0.29,cfs,G
12/24/2020 12:15:00,PT Level,0.10,in,G
12/24/2020 12:15:00,PT Flow gpm,0.190,gpm,G
12/24/2020 12:15:00,Level_950,0.10,in,G
12/24/2020 12:15:00,Vel_950,0.40,fps,G
12/24/2020 12:15:00,Flow_950,0.29,cfs,G
12/24/2020 12:20:00,PT Level,0.12,in,G
12/24/2020 12:20:00,PT Flow gpm,0.320,gpm,G
12/24/2020 12:20:00,Level_950,0.10,in,G
12/24/2020 12:20:00,Vel_950,0.40,fps,G
12/24/2020 12:20:00,Flow_950,0.29,cfs,G
12/24/2020 12:25:00,PT Level,0.09,in,G
12/24/2020 12:25:00,PT Flow gpm,0.171,gpm,G
12/24/2020 12:25:00,Level_950,0.10,in,G
12/24/2020 12:25:00,Vel_950,0.40,fps,G
12/24/2020 12:25:00,Flow_950,0.29,cfs,G
12/24/2020 12:30:00,PT Level,0.09,in,G
12/24/2020 12:30:00,PT Flow gpm,0.171,gpm,G
12/24/2020 12:30:00,Level_950,0.10,in,G
12/24/2020 12:30:00,Vel_950,0.40,fps,G
12/24/2020 12:30:00,Flow_950,0.29,cfs,G
12/24/2020 12:35:00,PT Level,0.11,in,G
12/24/2020 12:35:00,PT Flow gpm,0.255,gpm,G
12/24/2020 12:35:00,Level_950,0.10,in,G
12/24/2020 12:35:00,Flow_950,0.29,cfs,G
12/24/2020 12:35:00,Vel_950,0.40,fps,G
12/24/2020 12:40:00,PT Level,0.10,in,G
12/24/2020 12:40:00,PT Flow gpm,0.190,gpm,G
12/24/2020 12:40:00,Level_950,0.10,in,G
12/24/2020 12:40:00,Flow_950,0.29,cfs,G
12/24/2020 12:40:00,Vel_950,0.40,fps,G
12/24/2020 12:45:00,PT Level,0.11,in,G
12/24/2020 12:45:00,PT Flow gpm,0.255,gpm,G
12/24/2020 12:45:00,Level_950,0.10,in,G
12/24/2020 12:45:00,Flow_950,0.29,cfs,G
12/24/2020 12:45:00,Vel_950,0.40,fps,G
12/24/2020 12:50:00,PT Level,0.10,in,G
12/24/2020 12:50:00,PT Flow gpm,0.190,gpm,G
12/24/2020 12:50:00,Level_950,0.10,in,G
12/24/2020 12:50:00,Flow_950,0.29,cfs,G
12/24/2020 12:50:00,Vel_950,0.40,fps,G
12/24/2020 12:55:00,PT Level,0.10,in,G
12/24/2020 12:55:00,PT Flow gpm,0.190,gpm,G
12/24/2020 12:55:00,Level_950,0.10,in,G
12/24/2020 12:55:00,Flow_950,0.29,cfs,G
12/24/2020 12:55:00,Vel_950,0.40,fps,G
12/24/2020 13:00:00,PT Level,0.10,in,G
12/24/2020 13:00:00,PT Flow gpm,0.190,gpm,G
12/24/2020 13:00:00,Battery_950,12.14,V,G
12/24/2020 13:00:00,Level_950,0.10,in,G
12/24/2020 13:00:00,Flow_950,0.29,cfs,G
12/24/2020 13:00:00,Vel_950,0.40,fps,G
